epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,3401.35,2.16845,5.13483,1.58842,0.59894,0.04916,0.02883,0.00884,3.03213,9.86552,1.99623,3.14375e-05,3.14375e-05,3.14375e-05
77,3445.99,2.17289,5.21603,1.5841,0.60367,0.04455,0.02851,0.00852,3.04744,9.81979,2.00349,3.119e-05,3.119e-05,3.119e-05
78,3490.12,2.1393,5.12746,1.58251,0.45684,0.04455,0.02578,0.00766,3.03964,9.87689,2.00568,3.09425e-05,3.09425e-05,3.09425e-05
79,3535.03,2.17456,5.23139,1.57992,0.45753,0.04301,0.02611,0.00743,3.05314,9.72289,2.00819,3.0695e-05,3.0695e-05,3.0695e-05
80,3579.46,2.16462,5.15014,1.5829,0.45529,0.04762,0.02386,0.00705,3.03093,9.77275,2.01006,3.04475e-05,3.04475e-05,3.04475e-05
81,3624.71,2.12703,5.12621,1.56329,0.45008,0.03994,0.02459,0.00714,3.0669,9.9946,2.01136,3.02e-05,3.02e-05,3.02e-05
82,3669.32,2.14631,4.99225,1.57094,0.59529,0.03687,0.02398,0.00695,3.06163,10.0177,2.00299,2.99525e-05,2.99525e-05,2.99525e-05
83,3715.9,2.13937,5.0591,1.56465,0.60058,0.04301,0.02687,0.00743,3.04799,9.60135,1.99664,2.9705e-05,2.9705e-05,2.9705e-05
84,3760.51,2.15483,5.06844,1.57431,0.45683,0.04545,0.02639,0.00785,3.13946,10.0356,2.03498,2.94575e-05,2.94575e-05,2.94575e-05
85,3805.41,2.12323,4.98185,1.55216,0.59777,0.04301,0.02463,0.00697,3.08987,9.7996,2.03922,2.921e-05,2.921e-05,2.921e-05
86,3850.24,2.14278,4.94603,1.56729,0.5992,0.04301,0.02561,0.00769,3.10277,10.0647,2.02637,2.89625e-05,2.89625e-05,2.89625e-05
